Player Name,Country,Matches Played,Innings,Not Outs,Runs,Average,Balls Faced,Strike Rate,Hundereds,Fifties
M Dillon (WI),WI,108,51,20,227,7.32,411,55.23,0,0
BKV Prasad (INDIA),IND,161,63,31,221,6.9,367,60.21,0,0
MJ Henry (NZ),NZ,52,21,7,211,15.07,211,100,0,0
M Ntini (SA),SA,172,46,23,199,8.65,298,66.77,0,0
NW Bracken (AUS),AUS,116,35,18,199,11.7,282,70.56,0,0
C Pringle (NZ),NZ,64,41,19,193,8.77,256,75.39,0,0
CA Walsh (WI),WI,122,52,22,192,6.4,284,67.6,0,0
CJ McKay (AUS),AUS,59,31,10,190,9.04,337,56.37,0,0
BAW Mendis (SL),SL,87,42,19,188,8.17,263,71.48,0,0
PS de Villiers (SA),SA,83,36,15,170,8.09,218,77.98,0,0
Imran Tahir (SA),SA,107,36,16,157,7.85,225,69.77,0,0
DK Morrison (NZ),NZ,82,39,24,156,10.4,356,43.82,0,0
TA Boult (NZ),NZ,89,39,23,154,9.62,209,73.68,0,0
DW Fleming (AUS),AUS,88,31,18,152,11.69,221,68.77,0,0
CR Matthews (SA),SA,56,22,9,141,10.84,202,69.8,0,0
A Nehra (INDIA),IND,117,45,21,140,5.83,244,57.37,0,0
Rubel Hossain (BDESH),BAN,101,52,24,140,5,249,56.22,0,0
HMRKB Herath (SL),SL,71,30,15,140,9.33,217,64.51,0,0
Mohammed Shami (INDIA),IND,70,33,15,136,7.55,163,83.43,0,0
ST Finn (ENG),ENG,69,30,13,136,8,223,60.98,0,0
Arshad Khan (PAK),PAK,58,29,18,133,12.09,217,61.29,0,0
Shafiul Islam (BDESH),BAN,59,33,11,129,5.86,235,54.89,0,0
A Nel (SA),SA,79,22,12,127,12.7,166,76.5,0,0
DBL Powell (WI),WI,55,25,3,118,5.36,164,71.95,0,0
GD McGrath (AUS),AUS,249,67,38,115,3.96,235,48.93,0,0
CJ McDermott (AUS),AUS,74,34,8,108,4.15,149,72.48,0,0
CD Collymore (WI),WI,84,35,17,104,5.77,261,39.84,0,0
RP Singh (INDIA),IND,58,20,10,104,10.4,242,42.97,0,0
XJ Doherty (AUS),AUS,60,23,16,101,14.42,184,54.89,0,0
Kuldeep Yadav (INDIA),IND,53,20,12,101,12.62,173,58.38,0,0
AA Donald (SA),SA,164,40,18,95,4.31,279,34.05,0,0
SJ Harmison (ENG),ENG,58,25,14,91,8.27,141,64.53,0,0
AD Mullally (ENG),ENG,50,25,10,86,5.73,238,36.13,0,0
Syed Rasel (BDESH),BAN,52,27,11,81,5.06,185,43.78,0,0
UT Yadav (INDIA),IND,75,24,14,79,7.9,134,58.95,0,0
Shahadat Hossain (BDESH),BAN,51,27,17,79,7.9,151,52.31,0,0
Mustafizur Rahman (BDESH),BAN,56,27,17,78,7.8,136,57.35,0,0
MM Patel (INDIA),IND,70,27,16,74,6.72,112,66.07,0,0
CK Langeveldt (SA),SA,72,21,10,73,6.63,124,58.87,0,0
FH Edwards (WI),WI,50,22,14,73,9.12,160,45.62,0,0
I Sharma (INDIA),IND,80,28,13,72,4.8,203,35.46,0,0
Junaid Khan (PAK),PAK,76,31,17,68,4.85,127,53.54,0,0
RD King (WI),WI,50,23,14,65,7.22,203,32.01,0,0
LL Tsotsobe (SA),SA,61,21,13,56,7,109,51.37,0,0
MA Wood (ENG),ENG,51,17,10,56,8,63,88.88,0,0
Mohammad Irfan (PAK),PAK,60,33,21,48,4,149,32.21,0,0
S Sreesanth (INDIA),IND,53,21,10,44,4,121,36.36,0,0
YS Chahal (INDIA),IND,50,8,3,39,7.8,72,54.16,0,0
SLV Raju (INDIA),IND,53,16,8,32,4,67,47.76,0,0
JJ Bumrah (INDIA),IND,58,13,8,19,3.8,43,44.18,0,0
